CGPA,Internships,Projects,Communication,CP,DSA,ML,Cloud,Backlogs,Certs,Tier,ResumeScore,Placement
8.65,1,5,3,0,3,0,0,0,0,Tier 2,44,None
8.43,3,1,3,0,3,1,0,0,0,Tier 2,70,None
8.67,1,4,2,0,5,1,0,1,2,Tier 1,93,None
8.13,1,2,5,1,4,0,0,1,0,Tier 3,76,Service
9.79,1,1,4,1,2,1,0,0,1,Tier 3,40,None
7.99,1,2,1,0,3,0,1,0,0,Tier 3,98,Service
10.0,1,3,4,1,4,1,0,0,4,Tier 3,90,Product
9.87,1,3,3,1,1,1,1,1,3,Tier 1,55,None
7.13,3,3,5,0,3,0,0,1,4,Tier 3,52,None
8.28,1,1,4,0,3,0,0,0,0,Tier 1,54,None
7.26,3,1,2,1,3,1,1,0,4,Tier 2,87,Service
9.03,0,3,3,1,3,0,0,0,1,Tier 3,45,None
8.41,3,2,4,1,3,0,1,0,4,Tier 3,98,None
7.84,3,2,2,0,1,0,0,1,2,Tier 1,69,Service
7.53,1,2,4,1,5,1,0,0,4,Tier 1,58,None
7.31,1,5,2,1,2,1,1,0,2,Tier 2,45,None
7.7,0,1,2,1,5,0,1,1,4,Tier 3,61,Service
6.68,2,2,1,0,4,0,1,1,1,Tier 2,94,Service
8.27,3,5,2,0,4,0,1,0,5,Tier 3,95,None
9.26,0,4,4,1,2,0,0,0,2,Tier 2,44,None
6.69,1,2,5,0,4,1,1,0,1,Tier 3,54,None
9.7,0,2,2,1,3,1,0,1,1,Tier 1,100,Product
7.68,1,1,3,1,2,0,1,0,2,Tier 3,84,Service
9.93,0,2,1,1,3,0,1,0,0,Tier 3,89,None
7.92,3,4,2,1,4,0,0,0,3,Tier 3,51,None
6.37,0,2,3,1,5,1,0,1,1,Tier 3,59,None
9.78,3,1,5,1,2,0,0,0,5,Tier 2,68,None
8.12,3,2,4,0,2,1,1,1,3,Tier 3,89,Service
6.05,0,4,5,0,3,0,1,0,0,Tier 2,96,None
8.84,1,2,4,1,1,0,0,0,3,Tier 2,43,None
7.2,2,2,2,0,5,0,0,1,5,Tier 1,74,Service
9.68,3,1,5,1,3,1,1,1,4,Tier 2,90,Product
8.0,0,2,1,0,5,1,0,1,3,Tier 2,100,Service
7.07,0,1,3,0,2,0,1,1,0,Tier 3,85,None
7.42,1,1,3,0,1,1,0,1,4,Tier 2,74,Service
9.43,3,5,3,0,2,0,0,1,4,Tier 2,92,None
9.13,0,3,4,0,4,1,0,0,0,Tier 1,54,None
8.52,2,1,2,0,5,0,1,1,5,Tier 2,86,None
8.21,2,2,3,0,4,1,0,1,0,Tier 1,95,None
6.83,3,5,2,0,3,0,0,0,5,Tier 1,83,Service
7.0,3,2,1,1,3,0,0,1,5,Tier 1,96,Service
9.17,3,3,4,1,1,0,0,0,2,Tier 2,80,None
9.99,1,4,2,1,3,1,1,0,1,Tier 1,46,None
7.24,3,2,4,0,1,1,0,1,5,Tier 2,90,Service
7.07,3,2,2,1,2,0,1,0,5,Tier 1,61,Service
7.52,1,4,4,0,3,1,0,0,3,Tier 2,40,None
7.22,1,1,4,0,1,0,0,1,4,Tier 2,46,None
6.18,0,5,3,0,5,1,1,1,3,Tier 1,92,None
6.54,1,4,1,0,1,1,1,1,4,Tier 2,96,Service
8.76,1,3,2,0,2,1,1,1,1,Tier 3,88,None
6.16,0,5,5,1,2,0,1,0,3,Tier 1,99,None
7.31,3,3,1,1,1,1,0,0,3,Tier 2,74,Service
7.8,3,1,3,0,5,0,1,0,2,Tier 2,65,Service
9.81,2,1,4,0,5,1,1,0,3,Tier 2,81,None
8.75,0,3,2,1,5,1,0,1,0,Tier 3,73,None
7.8,0,4,5,1,5,0,0,0,0,Tier 2,50,None
8.93,2,2,5,1,4,0,0,0,1,Tier 3,87,None
6.34,1,5,2,1,4,1,1,0,1,Tier 2,63,None
7.53,2,3,1,0,1,1,0,0,0,Tier 1,73,Service
7.35,1,2,5,1,5,0,1,0,4,Tier 3,60,None
9.01,0,1,3,1,2,1,1,0,4,Tier 1,60,None
7.43,2,1,1,0,1,1,0,1,1,Tier 1,67,Service
7.76,3,3,5,0,1,1,1,1,0,Tier 3,100,Service
9.38,1,1,4,0,5,1,0,0,1,Tier 2,65,None
7.12,3,1,5,0,2,0,1,1,0,Tier 1,59,None
8.9,0,3,5,0,4,1,0,0,2,Tier 2,79,None
8.26,2,5,5,1,3,1,0,1,5,Tier 2,85,Product
8.56,1,4,2,0,5,0,1,0,5,Tier 2,40,None
6.88,1,2,2,0,1,1,0,0,0,Tier 3,58,None
7.72,2,3,3,1,1,0,1,0,1,Tier 1,72,Service
8.83,2,2,2,1,1,1,1,1,0,Tier 3,67,None
6.14,0,2,5,1,4,0,1,0,4,Tier 1,81,None
9.98,2,4,2,0,4,1,1,0,0,Tier 1,76,None
6.57,2,5,1,1,2,1,1,0,4,Tier 3,63,Service
6.95,3,1,1,1,2,1,1,0,1,Tier 1,75,Service
6.77,3,2,5,1,5,1,0,0,5,Tier 2,57,None
9.31,1,1,4,1,1,1,1,1,0,Tier 1,67,None
9.34,3,2,3,1,2,1,0,0,2,Tier 3,97,Product
7.68,2,4,3,0,1,1,0,1,3,Tier 1,50,None
9.2,3,3,2,0,4,1,0,1,5,Tier 1,54,None
9.65,2,3,5,0,3,1,1,1,5,Tier 1,56,None
7.0,0,2,3,0,5,1,0,1,1,Tier 3,64,None
9.87,2,2,2,1,3,1,1,1,1,Tier 1,48,None
6.26,1,3,5,1,1,1,0,1,1,Tier 3,53,None
6.59,0,5,5,0,1,0,1,0,0,Tier 1,91,None
7.62,3,2,3,1,5,1,1,0,3,Tier 2,55,None
8.14,2,3,4,1,5,1,1,0,1,Tier 3,57,None
6.71,1,1,3,1,3,1,1,1,1,Tier 1,56,None
9.12,0,1,2,0,2,0,0,0,4,Tier 2,96,None
6.62,1,5,2,1,4,0,0,0,1,Tier 1,93,Service
7.23,1,5,2,1,4,1,0,1,4,Tier 1,59,None
8.85,1,4,5,0,5,1,0,0,3,Tier 2,98,None
7.84,2,1,2,0,2,1,0,0,2,Tier 3,86,Service
9.53,1,4,2,0,3,0,1,0,0,Tier 1,88,None
8.49,0,2,3,1,2,1,0,0,1,Tier 1,57,None
6.37,2,5,2,0,1,1,1,1,2,Tier 1,85,None
9.79,2,1,1,0,5,0,0,0,3,Tier 3,48,None
9.46,2,3,4,0,4,1,0,1,1,Tier 1,50,None
9.21,3,1,1,0,2,1,0,1,2,Tier 3,95,None
7.43,2,1,2,1,2,1,1,1,5,Tier 3,41,None
6.62,0,5,1,0,3,1,0,0,5,Tier 1,93,Service
9.89,2,3,2,1,5,1,1,1,3,Tier 3,43,None
8.97,1,1,1,1,2,1,1,1,5,Tier 2,59,None
6.55,2,4,1,0,2,1,0,0,5,Tier 1,89,Service
9.7,2,5,5,0,3,0,1,0,4,Tier 1,69,None
6.65,3,5,3,0,4,1,0,1,4,Tier 3,99,Service
8.6,2,4,5,0,2,0,0,1,5,Tier 3,59,None
9.27,2,3,1,1,4,0,1,1,5,Tier 3,56,None
8.55,1,2,2,0,1,0,1,1,4,Tier 1,57,None
8.18,0,5,3,0,5,0,0,1,5,Tier 3,99,Service
9.13,3,3,1,0,1,0,0,0,2,Tier 2,88,None
7.72,2,2,4,1,1,1,0,1,1,Tier 3,80,Service
9.28,0,5,2,0,1,1,1,0,4,Tier 2,53,None
9.75,0,4,4,0,3,1,0,0,5,Tier 1,81,None
7.74,0,2,3,0,4,1,1,1,0,Tier 3,74,None
8.45,1,5,1,1,3,0,1,1,5,Tier 1,42,None
9.06,2,2,3,0,2,0,1,0,1,Tier 1,54,None
9.54,0,2,3,1,1,1,1,1,4,Tier 1,59,None
6.49,1,1,5,0,3,1,0,1,3,Tier 3,70,None
7.43,0,3,3,0,1,0,0,0,4,Tier 1,87,Service
7.48,2,1,4,1,4,1,1,1,0,Tier 3,65,Service
8.75,1,1,1,0,1,1,0,1,2,Tier 2,84,None
7.8,2,3,1,0,1,0,0,0,5,Tier 1,50,None
8.08,3,1,4,1,2,1,1,1,3,Tier 1,82,Service
7.77,2,2,4,0,5,1,0,1,4,Tier 1,88,Service
8.44,1,2,4,0,3,1,1,0,5,Tier 1,79,None
7.36,0,5,5,0,4,0,0,0,2,Tier 2,87,Service
6.93,1,2,3,0,5,0,0,0,2,Tier 3,65,Service
8.01,2,5,4,1,1,1,1,0,5,Tier 3,59,None
6.07,2,4,2,1,2,0,0,0,5,Tier 1,91,None
8.39,2,3,3,0,5,1,1,0,5,Tier 2,64,None
8.66,1,5,5,0,2,1,0,1,0,Tier 3,76,None
9.16,3,2,3,0,5,0,0,0,3,Tier 3,91,None
6.65,0,2,4,1,3,1,1,0,2,Tier 2,50,None
7.21,0,4,2,0,4,1,0,1,2,Tier 2,67,Service
8.53,1,5,4,0,3,1,0,0,3,Tier 1,83,None
7.92,2,1,1,1,4,1,0,0,2,Tier 1,92,Service
9.96,2,3,2,1,2,0,0,0,0,Tier 1,55,None
8.7,2,4,3,0,4,1,0,1,3,Tier 1,73,None
6.96,3,4,4,0,3,1,1,1,2,Tier 1,61,Service
7.66,3,4,3,1,5,0,1,1,5,Tier 2,66,Service
8.17,3,3,4,1,1,1,1,1,5,Tier 2,89,Service
7.17,3,4,1,0,3,1,1,0,4,Tier 1,91,Service
6.85,3,5,1,0,4,1,1,0,3,Tier 2,48,None
8.4,0,3,3,0,3,0,0,0,2,Tier 1,62,None
6.7,2,1,1,1,3,1,0,0,4,Tier 3,54,None
8.07,1,3,4,0,4,1,0,1,1,Tier 1,49,None
6.2,0,1,3,1,3,1,1,1,5,Tier 1,63,None
9.55,2,2,1,0,5,0,0,0,5,Tier 2,85,None
6.72,1,5,1,0,5,0,1,0,4,Tier 2,97,Service
7.68,0,5,5,1,5,1,1,1,1,Tier 1,99,None
8.42,2,3,5,1,4,0,1,1,3,Tier 3,89,None
7.43,2,3,5,1,4,1,0,0,1,Tier 2,56,None
9.07,0,4,3,1,3,0,0,1,1,Tier 3,87,None
7.67,0,1,3,1,1,0,0,0,1,Tier 1,46,None
7.03,0,2,1,1,5,1,1,1,3,Tier 3,50,None
8.2,0,5,2,1,1,1,1,0,1,Tier 3,91,Product
6.46,2,2,5,0,2,0,0,0,4,Tier 1,92,None
7.44,1,2,3,1,2,1,0,1,3,Tier 3,41,None
7.53,0,4,5,1,3,1,1,1,0,Tier 3,89,None
6.76,2,3,2,0,3,1,0,0,0,Tier 1,75,Service
6.4,2,2,4,0,3,1,0,1,3,Tier 2,90,None
6.27,1,1,2,0,1,0,0,1,4,Tier 2,68,None
8.28,0,5,3,1,1,1,1,1,1,Tier 3,79,None
9.16,2,3,5,1,4,0,0,0,4,Tier 3,80,None
6.6,1,1,2,0,3,0,0,0,2,Tier 3,73,Service
8.71,2,3,5,1,3,1,0,0,4,Tier 3,86,Product
6.28,3,1,4,0,3,1,0,0,3,Tier 3,67,None
9.11,0,5,2,1,5,0,1,1,0,Tier 1,60,None
9.56,2,3,1,0,1,0,1,1,2,Tier 3,72,None
7.57,3,1,3,0,4,1,0,1,5,Tier 3,82,Service
6.03,2,2,2,1,4,1,1,1,2,Tier 2,54,None
7.88,2,1,4,0,1,0,0,0,5,Tier 3,92,Service
9.14,2,2,1,1,1,0,0,1,1,Tier 1,79,None
9.3,0,2,2,0,5,0,0,0,2,Tier 3,82,None
8.24,3,2,5,0,3,1,1,0,0,Tier 1,45,None
6.66,2,1,3,0,1,0,1,0,4,Tier 2,44,None
6.79,3,1,5,0,1,0,1,0,4,Tier 3,100,Service
6.38,0,5,3,0,1,0,1,0,5,Tier 3,78,None
6.31,3,3,1,0,1,1,1,0,0,Tier 2,81,None
7.84,1,4,2,0,1,0,0,1,2,Tier 1,75,Service
6.37,1,3,4,0,3,0,1,1,4,Tier 3,76,None
9.9,1,4,2,0,2,0,1,1,1,Tier 3,43,None
6.95,0,2,2,0,3,0,0,0,2,Tier 1,65,Service
6.68,2,4,4,0,3,1,1,0,0,Tier 3,73,Service
6.64,0,1,4,0,5,0,1,1,3,Tier 1,64,Service
7.18,1,4,4,1,3,1,1,0,4,Tier 3,93,Service
6.72,0,5,1,1,4,0,0,1,2,Tier 3,72,Service
8.47,1,3,5,0,4,1,0,0,0,Tier 2,96,None
6.45,2,4,5,1,2,1,1,0,4,Tier 1,43,None
7.99,1,5,5,1,2,1,0,1,3,Tier 2,43,None
6.29,2,2,4,0,1,0,0,1,0,Tier 3,96,None
9.31,0,4,3,1,3,1,1,0,5,Tier 2,99,Product
8.45,3,2,2,0,3,1,0,0,0,Tier 3,83,None
8.45,2,3,4,0,1,0,0,1,2,Tier 1,66,None
6.61,3,5,2,1,1,1,0,1,0,Tier 2,72,Service
9.68,3,3,1,1,3,0,0,1,3,Tier 3,52,None
8.73,2,3,5,1,2,0,0,0,4,Tier 2,82,None
9.43,2,1,4,1,1,1,0,1,3,Tier 3,79,None
7.69,1,2,5,1,3,0,1,1,0,Tier 1,44,None
7.99,2,2,5,0,3,1,0,0,5,Tier 2,70,Service
9.49,0,1,1,0,4,0,1,1,3,Tier 2,70,None
7.56,3,1,2,1,2,1,1,0,0,Tier 1,62,Service
6.59,1,2,3,1,3,0,0,1,1,Tier 2,96,Service
7.5,1,4,5,1,5,1,0,0,1,Tier 3,49,None
9.6,0,5,4,0,1,1,0,1,3,Tier 3,54,None
8.24,2,2,4,0,3,0,1,0,5,Tier 1,92,None
7.99,3,4,5,0,2,0,0,1,0,Tier 1,98,Service
7.75,0,5,1,1,5,1,0,0,5,Tier 2,87,Service
7.12,3,1,1,1,4,1,0,0,4,Tier 1,78,Service
6.43,2,4,2,1,2,0,0,1,1,Tier 2,43,None
8.94,0,3,3,1,2,0,0,0,0,Tier 2,56,None
8.96,0,2,4,1,1,0,1,1,5,Tier 2,40,None
9.16,3,3,5,0,5,1,1,1,0,Tier 3,62,None
9.94,3,5,1,0,3,0,0,1,0,Tier 1,71,None
9.36,0,2,5,1,5,0,1,1,3,Tier 3,82,None
7.51,0,2,5,0,4,1,1,1,3,Tier 1,87,Service
9.9,2,4,3,1,4,0,0,1,4,Tier 3,61,None
9.39,0,4,1,1,5,0,1,0,2,Tier 1,65,None
8.06,0,3,2,1,3,0,0,1,5,Tier 1,89,Service
6.49,0,2,5,0,5,1,1,0,2,Tier 3,90,None
7.36,0,3,5,0,5,1,0,0,1,Tier 2,86,None
9.42,2,5,3,0,4,0,0,1,0,Tier 1,80,None
6.3,2,2,4,1,3,1,0,0,5,Tier 1,93,None
8.44,0,2,1,0,5,1,0,0,2,Tier 2,76,None
6.94,2,5,4,1,1,0,1,0,0,Tier 3,81,Service
7.55,3,5,2,1,4,1,1,1,1,Tier 3,97,Service
6.71,1,3,5,1,2,0,1,1,3,Tier 1,47,None
8.89,1,5,1,0,2,0,1,0,2,Tier 2,89,None
9.33,0,4,3,1,5,0,0,0,3,Tier 3,89,None
6.71,2,5,1,1,2,0,0,0,2,Tier 2,46,None
9.68,0,3,1,0,4,0,1,1,4,Tier 1,64,None
9.73,2,1,1,1,5,0,1,1,5,Tier 1,61,None
7.01,0,5,2,0,4,0,1,1,3,Tier 3,65,Service
6.82,0,5,3,1,4,0,1,0,1,Tier 2,88,None
9.31,1,3,2,0,3,1,0,0,2,Tier 2,63,None
6.27,2,2,2,1,1,0,1,1,3,Tier 3,99,None
9.94,1,1,1,1,4,1,1,0,1,Tier 1,59,None
8.42,3,5,4,1,1,0,1,1,1,Tier 3,76,None
7.19,2,4,4,0,1,1,0,1,0,Tier 3,52,None
8.71,0,5,5,0,1,0,1,1,3,Tier 1,51,None
8.73,3,5,2,1,1,1,0,0,4,Tier 2,46,None
9.15,0,4,2,1,1,0,0,1,1,Tier 2,74,None
7.57,1,3,3,0,3,1,0,0,3,Tier 2,42,None
6.07,0,5,2,0,1,1,1,1,4,Tier 1,96,None
7.54,2,3,4,1,2,1,1,1,4,Tier 1,55,None
6.37,1,4,2,1,3,1,0,1,3,Tier 1,98,None
9.91,1,2,3,1,2,0,1,1,0,Tier 2,72,None
7.04,3,5,5,1,5,0,0,1,2,Tier 3,95,Service
6.79,1,1,1,0,2,1,0,0,1,Tier 3,88,Service
8.5,2,4,3,1,4,0,1,0,0,Tier 2,93,None
9.74,1,1,3,1,5,1,0,1,2,Tier 1,62,None
9.69,2,3,5,0,5,0,0,1,0,Tier 1,48,None
7.07,2,3,5,0,5,0,1,0,4,Tier 2,75,Service
8.33,2,2,1,1,5,0,1,1,5,Tier 1,44,None
6.93,0,1,3,0,3,0,0,1,4,Tier 1,63,Service
6.27,0,5,5,0,2,0,0,0,3,Tier 2,84,None
7.77,0,3,2,0,4,0,0,0,3,Tier 2,90,Service
6.22,1,1,2,0,4,1,1,1,4,Tier 2,74,None
8.71,3,5,4,1,1,1,0,1,5,Tier 1,40,None
7.9,1,5,2,0,4,1,0,1,3,Tier 1,97,Service
6.88,2,1,5,1,3,1,1,1,0,Tier 3,98,Service
8.31,1,3,3,0,4,1,1,1,2,Tier 1,49,None
9.36,1,2,2,1,2,0,1,1,5,Tier 2,90,None
8.96,3,4,1,1,5,1,0,1,5,Tier 1,41,None
8.42,3,3,5,0,1,0,1,1,5,Tier 2,58,None
9.75,3,4,1,0,1,0,0,0,0,Tier 2,61,None
6.03,3,4,4,1,5,0,1,1,5,Tier 1,99,None
7.29,1,2,3,1,1,1,0,1,3,Tier 1,50,None
7.92,2,3,4,1,4,0,1,1,4,Tier 3,44,None
9.36,1,2,5,0,1,0,0,0,0,Tier 3,99,None
8.56,2,1,2,1,3,0,1,1,0,Tier 1,57,None
9.17,2,5,2,1,4,0,0,1,1,Tier 3,48,None
6.35,0,4,5,1,3,0,1,1,0,Tier 2,56,None
9.08,2,1,2,0,2,1,1,0,0,Tier 3,82,None
9.52,3,4,4,1,3,1,0,0,2,Tier 3,59,None
7.82,3,1,5,0,3,0,1,1,4,Tier 2,58,None
6.64,0,4,3,1,3,1,0,1,1,Tier 1,81,None
6.78,1,2,3,1,4,1,0,0,3,Tier 3,74,Service
9.12,1,2,1,1,1,0,0,0,4,Tier 2,55,None
9.05,3,5,1,1,5,1,0,0,4,Tier 1,93,Product
6.47,0,4,2,0,5,1,1,0,4,Tier 2,45,None
6.39,0,4,5,0,2,0,0,1,5,Tier 2,94,None
7.07,3,5,1,1,3,0,1,1,0,Tier 2,63,Service
6.94,2,3,1,1,2,1,0,1,1,Tier 3,79,Service
8.79,3,3,5,1,1,0,1,0,4,Tier 2,65,None
9.02,2,3,4,0,4,0,0,0,0,Tier 3,52,None
8.02,0,3,5,0,5,1,1,0,1,Tier 2,88,None
6.58,3,2,5,1,5,0,1,1,3,Tier 3,52,None
9.0,1,3,3,1,1,1,1,0,5,Tier 2,98,Product
9.34,0,3,5,0,4,1,0,1,0,Tier 2,91,None
8.56,3,2,5,1,2,1,1,1,2,Tier 3,70,None
9.24,2,1,4,0,2,1,1,0,3,Tier 3,54,None
9.08,3,1,4,1,5,0,1,1,0,Tier 3,86,None
6.35,0,1,5,1,2,0,0,0,4,Tier 1,97,None
8.14,3,4,2,1,5,0,1,0,2,Tier 1,66,Service
7.73,2,3,1,0,2,1,1,0,1,Tier 2,53,None
6.13,0,4,4,0,2,1,0,1,0,Tier 3,86,None
6.16,0,2,3,1,4,0,0,0,3,Tier 2,73,None
9.64,2,4,4,1,5,1,1,0,0,Tier 2,79,None
9.98,3,2,1,0,5,0,0,0,2,Tier 2,88,None
9.14,2,5,4,1,3,1,1,0,2,Tier 1,56,None
7.28,3,4,4,1,3,0,1,1,4,Tier 3,88,Service
6.0,1,2,3,0,1,0,0,0,3,Tier 2,44,None
9.87,1,5,5,0,5,0,0,1,5,Tier 2,86,None
6.53,3,3,2,1,4,1,0,1,4,Tier 3,95,Service
9.73,2,5,1,0,2,0,0,0,4,Tier 1,96,None
6.94,1,4,2,0,2,0,1,0,4,Tier 2,42,None
6.28,1,5,3,1,5,1,1,1,2,Tier 1,97,None
7.62,3,2,3,1,3,0,0,0,2,Tier 3,56,None
9.93,0,4,4,1,5,0,0,0,1,Tier 2,95,None
7.57,0,1,2,1,3,1,1,0,1,Tier 2,53,None
6.79,3,3,5,1,2,0,0,1,0,Tier 2,90,Service
7.16,0,1,3,1,5,0,1,1,5,Tier 3,60,None
7.6,2,1,2,0,4,1,0,0,5,Tier 3,44,None
8.85,0,2,5,1,2,1,1,1,3,Tier 1,76,None
7.49,0,4,1,0,2,0,1,1,4,Tier 3,55,None
8.29,3,5,3,0,3,1,0,0,0,Tier 1,64,None
6.11,3,5,4,1,2,0,1,1,2,Tier 2,75,None
8.31,0,1,5,0,3,0,1,0,2,Tier 3,77,None
7.62,1,3,1,1,1,1,0,0,2,Tier 2,44,None
8.57,0,1,2,0,1,0,1,1,1,Tier 2,55,None
6.29,1,2,1,0,4,1,0,0,3,Tier 2,50,None
8.38,2,4,5,1,2,1,0,1,1,Tier 2,44,None
8.62,2,3,4,0,1,1,0,0,1,Tier 3,69,None
8.63,0,1,2,1,3,1,1,1,0,Tier 1,73,None
6.14,2,5,4,0,5,0,1,1,5,Tier 2,61,None
6.95,3,5,3,0,4,1,1,1,4,Tier 3,65,Service
9.01,1,3,2,0,3,1,1,1,0,Tier 1,58,None
6.2,0,3,3,0,2,1,0,1,0,Tier 3,82,None
9.81,0,4,4,1,2,1,0,0,0,Tier 2,57,None
6.53,2,2,3,0,4,0,0,0,3,Tier 1,78,Service
7.58,3,3,2,1,2,0,1,0,1,Tier 2,65,Service
9.7,1,4,1,1,4,0,1,1,1,Tier 2,66,None
7.84,2,2,4,1,5,0,1,0,1,Tier 3,42,None
6.11,1,2,4,0,5,0,1,1,5,Tier 1,71,None
7.42,3,2,4,0,4,0,0,0,0,Tier 3,96,Service
9.14,1,5,2,0,2,1,1,1,2,Tier 2,64,None
7.86,2,4,1,1,3,1,1,0,4,Tier 3,78,Service
6.01,2,3,5,1,4,0,0,0,0,Tier 1,92,None
6.19,3,3,4,1,5,0,1,1,0,Tier 1,74,None
6.27,3,3,1,1,2,1,0,0,5,Tier 2,44,None
6.93,3,2,5,0,4,1,1,0,1,Tier 2,92,Service
6.73,1,5,5,1,3,1,1,0,2,Tier 3,79,Service
9.68,3,3,3,0,1,1,1,0,1,Tier 2,76,None
7.21,2,3,1,0,5,0,1,0,0,Tier 2,52,None
8.21,1,2,5,0,5,0,1,0,0,Tier 1,77,None
6.84,2,5,5,1,4,0,0,1,4,Tier 2,73,Service
9.42,0,3,1,0,2,0,1,1,1,Tier 3,83,None
6.0,2,2,2,0,4,0,0,0,5,Tier 2,59,None
9.09,0,5,1,0,4,1,1,1,3,Tier 2,60,None
7.8,3,2,1,0,3,1,1,0,4,Tier 1,69,Service
9.32,2,2,2,1,2,0,0,1,4,Tier 3,61,None
6.15,3,4,4,1,2,1,1,0,2,Tier 3,86,None
9.9,0,3,2,1,4,1,0,0,1,Tier 3,59,None
7.19,2,5,4,1,2,1,1,0,4,Tier 1,50,None
8.29,0,2,4,1,3,1,0,1,5,Tier 3,81,Product
8.42,0,2,2,0,4,0,0,1,5,Tier 2,99,None
6.78,1,2,5,0,4,1,1,0,0,Tier 1,45,None
6.69,1,4,4,0,3,1,0,0,4,Tier 3,83,Service
9.57,1,3,5,0,1,1,0,0,5,Tier 2,58,None
7.99,0,4,4,0,4,1,0,0,1,Tier 2,85,None
7.05,0,2,4,0,3,1,1,1,4,Tier 2,98,Service
7.89,0,4,4,0,1,1,1,1,0,Tier 1,53,None
6.03,0,3,5,0,5,1,0,1,0,Tier 2,70,None
8.42,2,5,1,0,1,0,0,0,5,Tier 1,79,None
8.11,1,3,4,0,2,1,0,1,5,Tier 1,100,Service
9.79,0,1,3,0,1,1,1,0,0,Tier 3,60,None
9.39,2,3,3,0,1,1,0,1,1,Tier 3,69,None
7.21,1,2,3,0,3,0,0,1,5,Tier 1,79,Service
9.43,1,4,5,1,4,1,0,0,3,Tier 2,62,None
8.16,0,4,4,1,3,1,0,1,1,Tier 2,75,None
6.99,3,2,4,1,2,1,0,0,0,Tier 2,68,Service
8.78,0,5,5,0,1,1,1,1,5,Tier 2,100,None
9.95,1,4,5,1,4,0,1,0,4,Tier 1,41,None
9.37,2,4,3,0,1,1,0,0,3,Tier 2,97,None
6.48,2,1,5,0,3,0,0,0,5,Tier 3,87,None
7.52,1,1,2,1,1,0,0,0,5,Tier 3,86,Service
7.41,0,5,5,1,4,1,1,1,1,Tier 1,41,None
6.2,0,5,3,1,4,0,1,0,0,Tier 2,90,None
9.39,3,2,4,0,2,1,0,0,4,Tier 1,60,None
7.32,1,1,5,0,3,0,0,1,3,Tier 3,41,None
7.29,0,3,2,0,2,1,1,0,1,Tier 3,86,None
7.26,3,4,5,1,5,0,1,1,1,Tier 3,50,None
7.13,2,1,3,0,1,0,1,1,2,Tier 2,75,Service
8.71,1,3,3,0,2,0,0,1,3,Tier 2,87,None
9.44,2,1,2,0,3,0,0,0,5,Tier 3,49,None
8.53,3,3,5,0,5,0,1,1,2,Tier 2,91,None
6.29,3,3,5,1,5,0,1,1,5,Tier 1,45,None
8.15,1,4,4,1,4,1,0,0,1,Tier 1,48,None
6.72,0,1,3,1,4,1,0,0,1,Tier 2,61,None
9.87,2,4,2,0,2,0,0,1,1,Tier 3,84,None
8.44,1,2,5,1,3,1,1,0,4,Tier 1,85,Product
9.38,0,2,2,0,5,1,1,1,3,Tier 3,89,None
8.96,3,3,3,1,2,0,1,0,2,Tier 1,94,None
9.68,3,3,1,1,5,1,1,0,5,Tier 2,46,None
7.54,2,2,3,0,3,1,1,1,5,Tier 2,87,Service
7.99,2,3,1,0,1,1,0,1,2,Tier 1,79,Service
9.43,3,1,3,0,5,1,0,0,5,Tier 1,41,None
8.03,3,3,3,1,1,0,0,0,4,Tier 1,57,None
6.84,0,4,5,0,4,0,0,1,4,Tier 3,86,Service
8.6,0,5,5,1,3,1,1,1,0,Tier 2,89,Product
7.87,0,5,2,0,2,0,1,1,2,Tier 1,72,Service
6.24,0,3,2,1,3,0,0,0,4,Tier 1,58,None
7.36,2,2,2,1,4,0,0,0,2,Tier 3,54,None
6.73,3,4,2,1,2,1,0,1,5,Tier 1,67,Service
7.65,2,4,4,1,1,1,0,1,3,Tier 1,74,Service
7.58,2,1,3,1,5,1,0,1,1,Tier 3,63,Service
8.88,0,1,4,0,1,1,0,1,1,Tier 2,40,None
9.62,1,2,1,0,2,1,1,0,0,Tier 2,72,None
8.5,1,4,4,1,1,1,0,0,3,Tier 1,54,None
9.64,3,2,3,0,2,0,0,0,1,Tier 3,55,None
6.84,1,5,4,1,3,0,0,1,0,Tier 3,85,Service
7.51,1,4,3,1,5,1,0,0,5,Tier 3,87,Service
9.05,2,2,3,0,2,0,0,0,5,Tier 3,49,None
9.54,3,5,5,1,5,1,1,1,5,Tier 3,71,None
9.81,1,2,1,1,5,1,0,0,2,Tier 1,44,None
7.99,3,5,4,1,2,0,1,1,1,Tier 1,47,None
9.46,0,3,5,1,3,0,0,1,0,Tier 2,90,None
8.81,2,2,2,1,4,0,0,0,3,Tier 3,80,None
6.63,0,2,2,0,1,0,0,1,0,Tier 1,85,None
6.83,1,5,3,0,1,0,0,0,2,Tier 1,82,Service
9.72,0,5,1,0,2,1,0,0,4,Tier 2,66,None
8.21,3,5,3,0,3,0,1,0,0,Tier 1,86,None
6.21,2,5,2,0,2,1,1,1,3,Tier 3,74,None
9.91,2,2,1,1,5,0,0,0,2,Tier 3,56,None
9.39,0,3,5,0,3,1,1,1,4,Tier 1,92,None
8.66,2,5,4,1,1,0,0,0,4,Tier 2,81,None
9.37,2,1,5,0,3,0,1,1,1,Tier 2,99,None
8.71,1,3,5,1,5,1,0,1,4,Tier 3,70,None
6.49,3,2,5,1,2,1,0,0,3,Tier 2,83,None
